Trial,method,g_cor_mean,g_cor_sd,Managed_Treatment,Breeding_Cycle
MD2016,GBLUP+H+A,0.8910746882372672,0.02764016750302705,Moderate Drought,2016-17
MD2016,MegaLMM,0.7536636388967326,0.04410701163819647,Moderate Drought,2016-17
MD2016,GOBLUP,0.8710619958519334,0.02979622582312525,Moderate Drought,2016-17
OB2013,ABLUP,0.415639869692566,0.104439999613964,Optimal Bed,2013-14
OB2013,GBLUP,0.380685396900964,0.104747437649411,Optimal Bed,2013-14
OB2013,BayesianLasso,0.37030727615188,0.0976328125452547,Optimal Bed,2013-14
OB2013,RKHS,0.431272679544414,0.0821712702902523,Optimal Bed,2013-14
OB2013,HBLUP,0.459680062092053,0.0926609888560105,Optimal Bed,2013-14
OB2013,GBLUP+H,0.597293442125408,0.11412561920198,Optimal Bed,2013-14
OB2013,GBLUP+H+A,0.6012221520640351,0.09182559654496014,Optimal Bed,2013-14
OB2013,MegaLMM,0.4437954342954424,0.05726753476778572,Optimal Bed,2013-14
OB2013,GOBLUP,0.5728210293547603,0.08663495082950126,Optimal Bed,2013-14
OB2014,ABLUP,0.493405145299067,0.0750972864426633,Optimal Bed,2014-15
OB2014,GBLUP,0.497203030637299,0.0848174514927076,Optimal Bed,2014-15
OB2014,BayesianLasso,0.503399082298483,0.0899967106353334,Optimal Bed,2014-15
OB2014,RKHS,0.592769577557907,0.0814261229373581,Optimal Bed,2014-15
OB2014,HBLUP,0.558312900353255,0.0521151413029269,Optimal Bed,2014-15
OB2014,GBLUP+H,0.655900005921336,0.0561359753185988,Optimal Bed,2014-15
OB2014,GBLUP+H+A,0.8316382545632038,0.04289806662262982,Optimal Bed,2014-15
OB2014,MegaLMM,0.7697892149165771,0.0411847847051421,Optimal Bed,2014-15
OB2014,GOBLUP,0.8236851975748167,0.04456371891591675,Optimal Bed,2014-15
OB2015,ABLUP,0.36260329213551,0.0848970020816892,Optimal Bed,2015-16
OB2015,GBLUP,0.426181054089831,0.0994234558486667,Optimal Bed,2015-16
OB2015,BayesianLasso,0.409765167076569,0.0867227301563715,Optimal Bed,2015-16
OB2015,RKHS,0.436725803485346,0.0957032179572332,Optimal Bed,2015-16
OB2015,HBLUP,0.204605330780384,0.0986965613251049,Optimal Bed,2015-16
OB2015,GBLUP+H,0.498971834311226,0.0816880012829987,Optimal Bed,2015-16
OB2015,GBLUP+H+A,0.5829931407277232,0.0813629786451598,Optimal Bed,2015-16
OB2015,MegaLMM,0.4514813097494956,0.101823645648583,Optimal Bed,2015-16
OB2015,GOBLUP,0.6296908435903671,0.06791759877925896,Optimal Bed,2015-16
OB2016,ABLUP,0.651421031372488,0.0793345031947835,Optimal Bed,2016-17
OB2016,GBLUP,0.549458983756935,0.0812195480473215,Optimal Bed,2016-17
OB2016,BayesianLasso,0.549039432207518,0.0811568044468108,Optimal Bed,2016-17
OB2016,RKHS,0.658422515794863,0.07838419257728,Optimal Bed,2016-17
OB2016,HBLUP,0.65566210495758,0.0487631546737322,Optimal Bed,2016-17
OB2016,GBLUP+H,0.735841003716966,0.0448085159067499,Optimal Bed,2016-17
OB2016,GBLUP+H+A,0.8863341561738595,0.03081569254081527,Optimal Bed,2016-17
OB2016,MegaLMM,0.8311948912571947,0.03090745224874854,Optimal Bed,2016-17
OB2016,GOBLUP,0.8829602087578595,0.03018683574774498,Optimal Bed,2016-17
OF2013,ABLUP,0.379618377774857,0.10319497795187,Optimal Flat,2013-14
OF2013,GBLUP,0.264940504183614,0.101610008265829,Optimal Flat,2013-14
OF2013,BayesianLasso,0.261472155050085,0.0954641037018844,Optimal Flat,2013-14
OF2013,RKHS,0.312164440242214,0.101631922841903,Optimal Flat,2013-14
OF2013,HBLUP,-0.0211639354025224,0.141576351149998,Optimal Flat,2013-14
