Trial,method,spend_time,log_time
OF2013,BL,3736.696377754211,3.5724878110359013
OF2013,G+HTP,321.6380045413969,2.507367359067265
OF2013,G+HTP+A,617.0735609531401,2.790336939092818
OF2013,G,198.41228485107425,2.2975685583315735
OF2013,HTP,198.07686328887934,2.296833749981799
OF2013,GOBLUP,453.61508512496937,2.6566874887366967
OF2013,FSBLUP,1945.4112416267392,3.289011421132531
OF2013,RKHS,217.649211883545,2.337757098898668
OF2013,MegaLMM,128032.848,5.1073214061712
