ph_data,p_cor,g_cor
Hyper_BLUE_736nm::0117,0.08400040154780579,0.0885912201881294
Hyper_BLUE_744nm::0117,0.07688844499874996,0.08860810225654525
Hyper_BLUE_751nm::0117,0.0687966368031749,0.0857570132198925
Hyper_BLUE_759nm::0117,0.07511955443517356,0.09110596891019826
Hyper_BLUE_766nm::0117,0.051709113997154055,0.0659138924565361
Hyper_BLUE_773nm::0117,0.06026571789300122,0.07937308162907328
Hyper_BLUE_781nm::0117,0.06902708529401888,0.08826295731251989
Hyper_BLUE_788nm::0117,0.06083111582853171,0.08174627210791485
Hyper_BLUE_795nm::0117,0.05906351438318744,0.07745300988356806
Hyper_BLUE_803nm::0117,0.05365876418909075,0.07186335824141425
Hyper_BLUE_810nm::0117,0.05025756122362497,0.07268964050427468
Hyper_BLUE_818nm::0117,0.05878007238592795,0.08113874619106046
Hyper_BLUE_825nm::0117,0.05086984845074365,0.07751941035422946
Hyper_BLUE_832nm::0117,0.0495184236321579,0.07086229901695934
Hyper_BLUE_840nm::0117,0.057287989758654394,0.07768611530858559
Hyper_BLUE_847nm::0117,0.052822317754146045,0.07848055830415732
Hyper_BLUE_398nm::0130,0.08221581979165313,0.05222170212725352
Hyper_BLUE_405nm::0130,0.061127282511137845,0.02502377146894159
Hyper_BLUE_412nm::0130,0.025063403282835687,0.026537544380348534
Hyper_BLUE_420nm::0130,0.022471402245116835,0.012327854220809868
Hyper_BLUE_427nm::0130,-0.027749575694053053,-0.0465392758862682
Hyper_BLUE_434nm::0130,0.030347244386589894,0.019384518914498102
Hyper_BLUE_442nm::0130,0.04458313111460842,0.04795598475042839
Hyper_BLUE_449nm::0130,0.03203240050479745,0.02625371539696293
Hyper_BLUE_457nm::0130,0.030790142945185797,0.03267907187373277
Hyper_BLUE_464nm::0130,0.023357447910146774,0.027874400205329077
Hyper_BLUE_471nm::0130,0.06263694946761483,0.03994997473284492
Hyper_BLUE_479nm::0130,0.03076770974510786,0.04219902266326061
Hyper_BLUE_486nm::0130,0.016745648567329678,0.02551856741745529
Hyper_BLUE_493nm::0130,0.045131124456876386,0.04343726745939521
Hyper_BLUE_501nm::0130,0.03551625437516552,0.03207480608410305
Hyper_BLUE_508nm::0130,0.05522390294504194,0.045783550938601175
Hyper_BLUE_515nm::0130,0.11279219389366023,0.09538928361272615
Hyper_BLUE_523nm::0130,0.1183386080172552,0.08883080779875292
Hyper_BLUE_530nm::0130,0.10415088654676286,0.07565405553060316
Hyper_BLUE_538nm::0130,0.0841212623268074,0.05190495131799203
Hyper_BLUE_545nm::0130,0.06855769384214874,0.038673464022991544
Hyper_BLUE_552nm::0130,0.05638005522804315,0.02444596882710004
Hyper_BLUE_560nm::0130,0.05433374673546818,0.02108390041699425
Hyper_BLUE_567nm::0130,0.05326124309769319,0.02935526201969763
Hyper_BLUE_574nm::0130,0.05115187624686505,0.02331086691780582
Hyper_BLUE_582nm::0130,0.014111027120661097,0.0016712456846982805
Hyper_BLUE_589nm::0130,-0.010400131207190464,-0.0121609127639354
Hyper_BLUE_596nm::0130,-0.025882843725263567,-0.026630134981928708
Hyper_BLUE_604nm::0130,-0.03216839851834247,-0.041211999368671384
Hyper_BLUE_611nm::0130,-0.05375611474650848,-0.058464261120686846
Hyper_BLUE_619nm::0130,-0.09201922112866674,-0.09557795633847534
Hyper_BLUE_626nm::0130,-0.08270435478364095,-0.08284800446487818
Hyper_BLUE_633nm::0130,-0.07050443593418877,-0.073417728676695
Hyper_BLUE_641nm::0130,-0.0872067206175834,-0.08942514696865288
Hyper_BLUE_648nm::0130,-0.11756088168519774,-0.12035407741765959
Hyper_BLUE_655nm::0130,-0.11792390814564291,-0.11976484621640023
Hyper_BLUE_663nm::0130,-0.12123208404683948,-0.12176887749838053
Hyper_BLUE_670nm::0130,-0.13985854627964256,-0.13902963520203893
Hyper_BLUE_678nm::0130,-0.13359145271000564,-0.13358538745229387
Hyper_BLUE_685nm::0130,-0.11254044490644789,-0.11530736811082182
Hyper_BLUE_692nm::0130,-0.10616643925395576,-0.10868409215961351
Hyper_BLUE_700nm::0130,5.233895839501844e-4,-0.01035774854763485
Hyper_BLUE_707nm::0130,0.027018335324563054,0.011439406483123138
Hyper_BLUE_714nm::0130,0.02412592103818973,-6.386081191085973e-4
Hyper_BLUE_722nm::0130,0.018515390068723332,0.012196388647832429
Hyper_BLUE_729nm::0130,0.04337438406164401,0.045807534405833655
Hyper_BLUE_736nm::0130,0.0654684268299697,0.0734220083009162
Hyper_BLUE_744nm::0130,0.07431550931610173,0.08744498553797808
Hyper_BLUE_751nm::0130,0.07692665626473298,0.09301809142201614
Hyper_BLUE_759nm::0130,0.11878119534236585,0.1275601228402816
Hyper_BLUE_766nm::0130,0.05850906700038806,0.08395458015741815
Hyper_BLUE_773nm::0130,0.07271884511463295,0.09600473837289675
Hyper_BLUE_781nm::0130,0.07604481106294293,0.0942443458453979
Hyper_BLUE_788nm::0130,0.07770787615850344,0.0976862536895175
Hyper_BLUE_795nm::0130,0.07620640654038886,0.09662468672115404
Hyper_BLUE_803nm::0130,0.07163529450733151,0.09343069350664256
Hyper_BLUE_810nm::0130,0.06863437930173243,0.08723523107759425
Hyper_BLUE_818nm::0130,0.06755691757038755,0.09106330058606273
Hyper_BLUE_825nm::0130,0.08582457329769393,0.10556804965182079
Hyper_BLUE_832nm::0130,0.07941353054663178,0.10261263559217526
Hyper_BLUE_840nm::0130,0.0879883134971342,0.10901351478993206
Hyper_BLUE_847nm::0130,0.0912497528759708,0.11150419474741825
Hyper_BLUE_398nm::0207,-0.03195958436147789,-0.051520772292791506
Hyper_BLUE_405nm::0207,-0.008767519605189181,0.022197164090226432
Hyper_BLUE_412nm::0207,0.01808058437128888,0.055841235824224046
Hyper_BLUE_420nm::0207,-0.09425622085259136,-0.06804959351667957
Hyper_BLUE_427nm::0207,-0.11008745585987426,-0.08703605250255209
Hyper_BLUE_434nm::0207,-0.012733621445828586,-0.014144035254650352
Hyper_BLUE_442nm::0207,-0.057760348151912555,-0.02303585479022271
Hyper_BLUE_449nm::0207,-0.06970262987306132,-0.05524964030957705
Hyper_BLUE_457nm::0207,-0.08538290900623342,-0.06954646604146411
Hyper_BLUE_464nm::0207,-0.0714172080748513,-0.06859940780996679
Hyper_BLUE_471nm::0207,-0.09869900019928783,-0.08297719104531041
Hyper_BLUE_479nm::0207,-0.08615163415215227,-0.06799252026185283
Hyper_BLUE_486nm::0207,-0.0744455698847685,-0.06809998369687828
Hyper_BLUE_493nm::0207,-0.09598331498049105,-0.0838669202232326
Hyper_BLUE_501nm::0207,-0.10547676731920676,-0.09205268604206936
Hyper_BLUE_508nm::0207,-0.10005044342084253,-0.08284301359706686
Hyper_BLUE_515nm::0207,-0.13519532676123394,-0.10413374908760191
Hyper_BLUE_523nm::0207,-0.13647654568794285,-0.10832594963562524
Hyper_BLUE_530nm::0207,-0.13180044971791646,-0.10665069395591185
Hyper_BLUE_538nm::0207,-0.11800875369380169,-0.09094428827868473
Hyper_BLUE_545nm::0207,-0.11856999317361357,-0.09950941207873014
Hyper_BLUE_552nm::0207,-0.11014999063171571,-0.09286161841396705
Hyper_BLUE_560nm::0207,-0.11565687572946323,-0.09373636193206396
Hyper_BLUE_567nm::0207,-0.1360924477139528,-0.11477512016775428
Hyper_BLUE_574nm::0207,-0.14724354468431688,-0.1174900543280949
Hyper_BLUE_582nm::0207,-0.13725696619389827,-0.1098357129321052
Hyper_BLUE_589nm::0207,-0.16131758515192265,-0.1310155276014849
Hyper_BLUE_596nm::0207,-0.1557197271986684,-0.12468226818115083
Hyper_BLUE_604nm::0207,-0.13055053026114805,-0.10615654785889479
Hyper_BLUE_611nm::0207,-0.11762084053775218,-0.08773307741178438
Hyper_BLUE_619nm::0207,-0.12877024466622955,-0.11122912647396478
Hyper_BLUE_626nm::0207,-0.12256093583557744,-0.09724847530658069
Hyper_BLUE_633nm::0207,-0.12319534643859277,-0.09361877130049949
Hyper_BLUE_641nm::0207,-0.10420975552919769,-0.08381220262353696
Hyper_BLUE_648nm::0207,-0.09579327629757632,-0.08737832180867837
Hyper_BLUE_655nm::0207,-0.09475672129046235,-0.08362848762225952
Hyper_BLUE_663nm::0207,-0.09961804352711563,-0.09063007378671319
Hyper_BLUE_670nm::0207,-0.1270801756178052,-0.11555603079240374
Hyper_BLUE_678nm::0207,-0.1131754999156205,-0.10222831514798125
Hyper_BLUE_685nm::0207,-0.1308702675829766,-0.12960730865472117
Hyper_BLUE_692nm::0207,-0.14378589417692395,-0.12338995642274775
Hyper_BLUE_700nm::0207,-0.1331560777474097,-0.1126983304780136
Hyper_BLUE_707nm::0207,-0.11017325325936304,-0.09534866366981026
Hyper_BLUE_714nm::0207,-0.08301730572350301,-0.07156108559513637
Hyper_BLUE_722nm::0207,-0.0777536005933573,-0.06789662874739638
Hyper_BLUE_729nm::0207,-0.04138949353623515,-0.03903409393326387
